"","gene_id","gene_name"
"130","ENSMUSG00000028294","1700003M02Rik"
"131","ENSMUSG00000085389","1700003M07Rik"
"132","ENSMUSG00000100727","1700003P14Rik"
"133","ENSMUSG00000027973","1700006A11Rik"
"134","ENSMUSG00000010841","1700006E09Rik"
"135","ENSMUSG00000100274","1700006F04Rik"
"136","ENSMUSG00000102000","1700006H21Rik"
"137","ENSMUSG00000034764","1700006J14Rik"
"138","ENSMUSG00000031620","1700007B14Rik"
"139","ENSMUSG00000101234","1700007E05Rik"
"140","ENSMUSG00000100666","1700007F19Rik"
"141","ENSMUSG00000057816","1700007G11Rik"
"142","ENSMUSG00000086330","1700007J10Rik"
"143","ENSMUSG00000030858","1700007K09Rik"
"144","ENSMUSG00000026831","1700007K13Rik"
"145","ENSMUSG00000097318","1700007L15Rik"
"146","ENSMUSG00000086613","1700007M16Rik"
"147","ENSMUSG00000089730","1700007P06Rik"
"148","ENSMUSG00000056018","1700008F21Rik"
"149","ENSMUSG00000058252","1700008I05Rik"
"150","ENSMUSG00000101225","1700008J07Rik"
"151","ENSMUSG00000101012","1700008K24Rik"
"152","ENSMUSG00000008028","1700008O03Rik"
"153","ENSMUSG00000069118","1700008P02Rik"
"154","ENSMUSG00000101404","1700009C05Rik"
"155","ENSMUSG00000096573","1700009J07Rik"
"156","ENSMUSG00000028287","1700009N14Rik"
"157","ENSMUSG00000026649","1700009P17Rik"
"158","ENSMUSG00000057047","1700010B08Rik"
"159","ENSMUSG00000099958","1700010B13Rik"
"160","ENSMUSG00000071721","1700010D01Rik"
"161","ENSMUSG00000067101","1700010H22Rik"
"162","ENSMUSG00000100010","1700010I02Rik"
"163","ENSMUSG00000023873","1700010I14Rik"
"164","ENSMUSG00000100314","1700010J16Rik"
"165","ENSMUSG00000092599","1700010K23Rik"
"166","ENSMUSG00000085102","1700010K24Rik"
"167","ENSMUSG00000030636","1700010L04Rik"
"168","ENSMUSG00000101855","1700010N08Rik"
"169","ENSMUSG00000063971","1700011A15Rik"
"170","ENSMUSG00000102099","1700011B04Rik"
"171","ENSMUSG00000036557","1700011E24Rik"
"172","ENSMUSG00000021850","1700011H14Rik"
"173","ENSMUSG00000058925","1700011I03Rik"
"174","ENSMUSG00000031682","1700011L22Rik"
"175","ENSMUSG00000079476","1700011M02Rik"
"176","ENSMUSG00000029766","1700012A03Rik"
"177","ENSMUSG00000020617","1700012B07Rik"
"178","ENSMUSG00000031927","1700012B09Rik"
"179","ENSMUSG00000086482","1700012C08Rik"
"180","ENSMUSG00000085470","1700012C14Rik"
"181","ENSMUSG00000101275","1700012E03Rik"
"182","ENSMUSG00000102069","1700012I11Rik"
"183","ENSMUSG00000100200","1700012L04Rik"
"184","ENSMUSG00000028589","1700012P22Rik"
"185","ENSMUSG00000079346","1700013D24Rik"
"186","ENSMUSG00000027886","1700013F07Rik"
"187","ENSMUSG00000041399","1700013G24Rik"
"188","ENSMUSG00000054727","1700013H16Rik"
"189","ENSMUSG00000085801","1700013N06Rik"
"190","ENSMUSG00000051054","1700014D04Rik"
"191","ENSMUSG00000042800","1700015E13Rik"
"192","ENSMUSG00000079666","1700015F17Rik"
"193","ENSMUSG00000094445","1700015G11Rik"
"194","ENSMUSG00000097671","1700015O11Rik"
"195","ENSMUSG00000015962","1700016C15Rik"
"196","ENSMUSG00000031509","1700016D06Rik"
"197","ENSMUSG00000085861","1700016G14Rik"
"198","ENSMUSG00000100625","1700016G22Rik"
"199","ENSMUSG00000029320","1700016H13Rik"
"200","ENSMUSG00000053783","1700016K19Rik"
"201","ENSMUSG00000101483","1700016L21Rik"
"202","ENSMUSG00000085609","1700016P03Rik"
"203","ENSMUSG00000101894","1700016P04Rik"
"204","ENSMUSG00000032300","1700017B05Rik"
"205","ENSMUSG00000024729","1700017D01Rik"
"206","ENSMUSG00000037884","1700017G19Rik"
"207","ENSMUSG00000098727","1700017I07Rik"
"208","ENSMUSG00000086348","1700017J07Rik"
"209","ENSMUSG00000056912","1700017N19Rik"
"210","ENSMUSG00000038408","1700018A04Rik"
"211","ENSMUSG00000031809","1700018B08Rik"
"212","ENSMUSG00000037910","1700018B24Rik"
"213","ENSMUSG00000058935","1700018C11Rik"
"214","ENSMUSG00000029620","1700018F24Rik"
"215","ENSMUSG00000100075","1700018L02Rik"
"216","ENSMUSG00000046145","1700018M17Rik"
"217","ENSMUSG00000060715","1700019A02Rik"
"218","ENSMUSG00000040340","1700019B03Rik"
"219","ENSMUSG00000085757","1700019B21Rik"
"220","ENSMUSG00000043629","1700019D03Rik"
"221","ENSMUSG00000086202","1700019E08Rik"
"222","ENSMUSG00000068299","1700019G17Rik"
"223","ENSMUSG00000085416","1700019G24Rik"
"224","ENSMUSG00000038987","1700019L03Rik"
"225","ENSMUSG00000059695","1700019M22Rik"
"226","ENSMUSG00000026931","1700019N19Rik"
"227","ENSMUSG00000036574","1700019O17Rik"
"228","ENSMUSG00000099808","1700019P21Rik"
"229","ENSMUSG00000027409","1700020A23Rik"
"230","ENSMUSG00000100937","1700020D05Rik"
"231","ENSMUSG00000101801","1700020G17Rik"
"232","ENSMUSG00000085438","1700020I14Rik"
"233","ENSMUSG00000035085","1700020L24Rik"
"234","ENSMUSG00000100146","1700020M21Rik"
"235","ENSMUSG00000050844","1700020N01Rik"
"236","ENSMUSG00000059690","1700020N15Rik"
"237","ENSMUSG00000100253","1700020N18Rik"
"238","ENSMUSG00000037535","1700021A07Rik"
"239","ENSMUSG00000019797","1700021F05Rik"
"240","ENSMUSG00000027518","1700021F07Rik"
"241","ENSMUSG00000086890","1700021J08Rik"
"242","ENSMUSG00000035629","1700021K19Rik"
"243","ENSMUSG00000086955","1700021L23Rik"
"244","ENSMUSG00000087343","1700021N21Rik"
"245","ENSMUSG00000096796","1700021P04Rik"
"246","ENSMUSG00000038165","1700022A21Rik"
"247","ENSMUSG00000099751","1700022A22Rik"
"248","ENSMUSG00000099983","1700022E09Rik"
"249","ENSMUSG00000102012","1700022F17Rik"
"250","ENSMUSG00000099360","1700022H16Rik"
"251","ENSMUSG00000028451","1700022I11Rik"
"252","ENSMUSG00000097523","1700022N22Rik"
"253","ENSMUSG00000087393","1700023C21Rik"
"254","ENSMUSG00000029248","1700023E05Rik"
"255","ENSMUSG00000100000","1700023F02Rik"
"256","ENSMUSG00000020940","1700023F06Rik"
"257","ENSMUSG00000089827","1700023H06Rik"
